Symbol,Name,Index,Description,Category,Provider
DRN,Daily Real Estate Bull 3x Shares,MSCI US REIT Index (300%),The Index is a free float market capitalization weighted index that is comprised of Equity REIT securities that belong to the MSCI US Investable Market 2500 Index.,Leveraged Real Estate,Direxion
DRR,Market Vectors-Double Short Euro ETN,Double Short Euro Index,"As the Index is two-times leveraged, for every 1% weakening of the euro relative to the U.S. dollar, the level of the Index will generally increase by 2%, while for every 1% strengthening of the euro relative to the U.S. dollar, the Index will generally decrease by 2%.",Leveraged Currency,Van Eck
DRV,Daily Real Estate Bear 3x Shares,MSCI US REIT Index (-300%),The Index is a free float market capitalization weighted index that is comprised of Equity REIT securities that belong to the MSCI US Investable Market 2500 Index.,Leveraged Real Estate,Direxion
DRW,WisdomTree International Real Estate Fund,WisdomTree International Real Estate Index,"The WisdomTree International Real Estate Index is a fundamentally weighted index that measures the performance of companies in developed markets outside of the U.S. and Canada that pay regular cash dividends and that WisdomTree Investments classifies as being part of the ""International Real Estate"" sector. Companies are weighted in the Index based on regular cash dividends paid. The Index includes the following types of companies: real estate operating companies; real estate development companies; and diversified REITs.",Global Real Estate,Wisdom Tree
DSC,SPDR DJ Wilshire Small Cap ETF,Dow Jones U.S. Small-Cap Total Stock Market Index,"The Dow Jones U.S. Small-Cap Total Stock Market Index is a subset of the Dow Jones U.S. Total Stock Market Index, which measures all U.S. equity securities with readily available prices. The index represents the stocks ranked 751-2,500 by full market capitalization and is float-adjusted market cap weighted.",Small Cap Blend Equities,State Street
DSG,SPDR DJ Wilshire Small Cap Growth,Dow Jones U.S. Small-Cap Growth Total Stock Market Index,The Dow Jones U.S. Small-Cap Growth Total Stock Market index is a float-adjusted market capitalization U.S. Total Stock Market index actually available to investors in the marketplace. The Small-Cap Growth Index includes the components ranked 751-2500 by full market capitalization and that are classified as,Small Cap Growth Equities,State Street
DSI,iShares KLD 400 Social Index Fund,FTSE KLD 400 Social Index,"The index measures the performance of common stocks of companies determined to have positive environmental, social, and governance characteristics.",Large Cap Blend Equities,iShares
DSV,SPDR DJ Wilshire Small Cap Value,Dow Jones U.S. Small-Cap Value Total Stock Market Index,The Dow Jones U.S. Small-Cap Value Total Stock Market index is a float-adjusted market capitalization weighted index that reflects the shares of securities of the small cap portion of the Dow Jones U.S. Total Stock Market index actually available to investors in the marketplace. The Small-Cap Value Index includes the components ranked 751-2500 by full market capitalization and that are classified as,Small Cap Value Equities,State Street
DTD,WisdomTree Total Dividend Fund,WisdomTree Dividend Index,"The WisdomTree Dividend Index is a fundamentally-weighted index that defines the dividend-paying portion of the U.S. stock market. The Index measures the performance of US companies, listed on the NYSE, AMEX or NASDAQ Global Market, that pay regular cash dividends and that meet other liquidity and capitalization requirements established by WisdomTree.",Large Cap Value Equities,Wisdom Tree
DTH,WisdomTree DEFA High-Yielding Equity Fund,WisdomTree DEFA Equity Income Index,"The WisdomTree DEFA Equity Income Index is a fundamentally weighted Index that measures the performance of companies with high dividend yields selected from the WisdomTree DEFA Index. At the index measurement date, companies within the WisdomTree DEFA Index with market capitalizations of at least $200 million and average daily trading volumes of at least $200,000 for the prior three months are ranked by dividend yield.",Foreign Large Cap Equities,Wisdom Tree
DTN,WisdomTree Dividend ex-Financials Fund,WisdomTree Dividend ex-Financials index,"WisdomTree Dividend ex-Financials index measures the performance of high dividend-yielding stocks outside the financial sector. The index consists primarily of large- and mid-capitalization companies listed on major U.S. stock exchanges that pass WisdomTree Investments market capitalization, liquidity and selection requirements.",Large Cap Value Equities,Wisdom Tree
DTO,PowerShares DB Crude Oil Dble Short ETN,Deutsche Bank Liquid Commodity Index-Oil (-200%),The index is designed to reflect the performance of certain crude oil futures contracts plus the returns from investing in 3 month United States Treaury Bills.,Leveraged Commodities,Invesco PowerShares
DUG,ProShares UltraShort Oil & Gas,Dow Jones U.S. Oil & Gas Index (-200%),"ProShares UltraShort Oil & Gas seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of the Dow Jones U.S. Oil & Gas Index",Leveraged Equities,ProShares
DVY,iShares Dow Jones Select Dividend Index Fund,Dow Jones U.S. Select Dividend Index,"The index screens stocks by dividend per share growth rate, dividend payout percentage rate, and average daily dollar trading volume, and stocks are selected based on dividend yield.",Large Cap Value Equities,iShares
DWM,WisdomTree DEFA Fund,"WisdomTree Dividend Index of Europe, Far East Asia and Australasia","The WisdomTree Dividend Index of Europe, Far East Asia and Australasia (WisdomTree DEFA) is a fundamentally weighted Index that measures the performance of dividend-paying companies in the industrialized world, excluding Canada and the United States, that pay regular cash dividends and that meet other liquidity and capitalization requirements. It is comprised of companies incorporated in 16 developed European countries, Japan, Australia, New Zealand, Hong Kong and Singapore. Companies are weighted in the Index based on annual cash dividends paid.",Foreign Large Cap Equities,Wisdom Tree
DWX,SPDR S&P International Dividend ETF,S&P International Dividend Opportunities Index,"The S&P International Dividend Opportunities Index generally includes 100 tradable, exchange-listed common stocks from around the world that offer high dividend yields.",Foreign Large Cap Equities,State Street
DXD,ProShares UltraShort Dow30,Dow Jones Industrial Average Index (-200%),"The Dow Jones Industrial Average is a price-weighted index of 30 ""blue-chip"" U.S. stocks. It is the oldest continuing U.S. market index.",Leveraged Equities,ProShares
DXJ,WisdomTree Japan Total Dividend Fund,WisdomTree Japan Hedged Equity Index,"The Index is designed to provide exposure to equity securities in Japan, while at the same time hedging exposure to fluctuations between the value of the U.S. dollar and and the Japanese yen. The Index seeks to track the performance of equity securities in Japan that is attributable solely to stock prices without the effect of currency fluctuations.",Japan Equities,Wisdom Tree
DXO,PowerShares DB Crude Oil Dble Long ETN,n/a,This ETF is not linked to a specific benchmark.,Leveraged Commodities,Invesco PowerShares
DYY,DB Commodity Double Long ETN,Deutsche Bank Liquid Commodity Index (200%),"The index is designed to reflect the performance of certain wheat, corn, light sweet crude oil, heating oil, gold and aluminum futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares
DZK,Direxion Developed Markets Bull 3x Shares,MSCI EAFE Index (300%),"The MSCI EAFE Index is a free float-adjusted market capitalization index that is designed to measure developed market equity performance, excluding the U.S. and Canada. As of September 30, 2007, the MSCI EAFE Index consisted of the following 20 developed market country indices: Australia, Austria, Belgium, Denmark, Finland, France, Germany, Greece, Hong Kong, Ireland, Italy, Japan, the Netherlands, Norway, Portugal, Singapore, Spain, Sweden, Switzerland and the United Kingdom.",Leveraged Equities,Direxion
DZZ,DB Gold Double Short ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Gold (-200%),The index is designed to reflect the performance of certain gold futures contracts plus the returns from investing in 3 month United States Treasury Bills.,Leveraged Commodities,Invesco PowerShares
ECH,iShares MSCI Chile Index Fund,MSCI Chile Investable Market Index,The index measures the performance of the Chilean equity market.,Latin America Equities,iShares
EDC,Direxion Emerging Markets Bull 3X Shares,MSCI Emerging Markets Index (300%),"The MSCI Emerging Markets index is a free float-adjusted market capitalization index that is designed to measure equity market performance in the global emerging markets. As of September 30, 2007, the MSCI Emerging Markets index consisted of the following 21 emerging market country indices: Argentina, Brazil, Chile, China, Czech Republic, Egypt, Hong Kong, Hungary, India, Indonesia, Israel, Malaysia, Mexico, Peru, Philippines, Russia, South Africa, South Korea, Taiwan, Thailand and Turkey.",Leveraged Equities,Direxion
EDV,Vanguard Extended Duration Treasury ETF,Barclays Capital U.S. Treasury STRIPS 20-30 Year Equal Par Bond Index,The Barclays Capital U.S. Treasury STRIPS 20-30 Year Equal Par Bond Index measures the investment return of Treasury STRIPS with maturities ranging from 20 to 30 years. A Treasury STRIP represents a single coupon or principal payment on a U.S. Treasury security that has been,Government Bonds,Vanguard
EDZ,Direxion Emerging Markets Bear 3X Shares,MSCI Emerging Markets Index (-300%),"The MSCI Emerging Markets index is a free float-adjusted market capitalization index that is designed to measure equity market performance in the global emerging markets. As of September 30, 2007, the MSCI Emerging Markets index consisted of the following 21 emerging market country indices: Argentina, Brazil, Chile, China, Czech Republic, Egypt, Hong Kong, Hungary, India, Indonesia, Israel, Malaysia, Mexico, Peru, Philippines, Russia, South Africa, South Korea, Taiwan, Thailand and Turkey.",Leveraged Equities,Direxion
EEB,Claymore/BNY BRIC ETF,Bank of New York Mellon BRIC Select ADR Index,"The index is comprised of American depositary receipts and global depositary receipts selected, based on liquidity, from a universe of all listed depositary receipts of companies from Brazil, Russia, India and China currently trading on U.S. exchanges.",Emerging Markets Equities,Claymore
EEG,Dow Jones Emerging Markets Composite Titans Index Fund,Dow Jones Emerging Markets Titans Composite Index,"The Dow Jones Emerging Markets Titans Composite Index is a stock market index comprised of a representative sample of 100 Emerging Markets companies that Dow Jones Indexes deems to be leading companies in each of the10 industrial sectors, as defined by the Industry Classification Benchmark (ICB) across the developing world.",Emerging Markets Equities,EG Shares
EEH,ELEMENTS SPECTRUM Lg Cap U.S. Sector ETN,SPECTRUM Large Cap U.S. Sector Momentum Index,The Index applies the methodology of,Quantitative Methodology Indexes,ELEMENTS
EEM,iShares MSCI Emerging Index Fund,MSCI Emerging Markets Index,The index measures the performance of the emerging market stocks.,Emerging Markets Equities,iShares
EEN,Claymore/BNY Mellon EW Euro-Pacific LDRs ETF,Bank of New York Mellon Euro-Pacific Select ADR Index,"Index constituents are selected, based on liquidity, from a universe of all U.S.-listed American depositary receipts, global depositary receipts, New York Shares and Global Registered Shares of developed countries in Europe and Asia- Pacific, as determined by The Bank of New York Mellon, the Fund's index provider. BNY Mellon generally follows the World Bank's classification as low-income, middle-income, or high-income in determining which markets qualify as developed markets.",Foreign Large Cap Equities,Claymore
EEO,EG Shares Dow Jones Emerging Markets Energy Titans Index Fund,Dow Jones Emerging Markets Oil and Gas Titans Index,"This index is designed to represent 30 of the largest emerging-market companies in the Oil & Gas Industry as defined by the Industry Classification Benchmark(ICB). Within the industry category for Energy, there exist the following sectors: Oil & Gas Producers, Oil Equipment & Services, and Alternative Energy.",Emerging Markets Equities,EG Shares
EES,WisdomTree SmallCap Earnings Fund,WisdomTree SmallCap Earnings Index,The WisdomTree SmallCap Earnings Index is a fundamentally weighted index that measures the performance of earnings-generating companies within the small-capitalization segment of the U.S. Stock Market. The index is comprised of the companies in the bottom 25% of the market capitalization of the WisdomTree Earnings Index after the 500 largest companies have been removed.,Small Cap Value Equities,Wisdom Tree
EET,ProShares Ultra MSCI Emerging Markets,MSCI Emerging Markets Index (200%),"ProShares Ultra MSCI Emerging Markets seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the MSCI Emerging Markets Index.",Leveraged Equities,ProShares
EEV,ProShares UltraShort MSCI Emerging Markets,MSCI Emerging Markets Index (-200%),"ProShares UltraShort MSCI Emerging Markets seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of the MSCI Emerging Markets Index.",Leveraged Equities,ProShares
EEZ,WisdomTree Earnings Top 100 Fund,WisdomTree Earnings Top 100 Index,"The WisdomTree Earnings Top 100 Index measures the performance of 100 primarily large-cap companies with relatively high earnings yields. The index is created by selecting the 100 companies ranked by highest earnings yield from the largest 300 companies within the WisdomTree Earnings 500 Index as of the index measurement date. Unlike the other WisdomTree Earnings Indexes, which weight components based on aggregate earnings, the index is weighted by earnings yield.",Large Cap Value Equities,Wisdom Tree
EFA,iShares MSCI EAFE Index Fund,MSCI EAFE Index,"The index measures the performance of equity markets in European, Australasian, and Far Eastern markets.",Foreign Large Cap Equities,iShares
EFG,iShares MSCI Growth Index Fund,MSCI EAFE Growth Index,"The index measures the performance of stocks in European, Australasian, and Far Eastern markets that represent growth characteristics.",Foreign Large Cap Equities,iShares
EFN,Dow Jones Emerging Markets Financials Titans Index Fund,Dow Jones Emerging Markets Financials Titans Index,"This index is designed to represent 30 of the largest emerging-market companies in the Financials Industry as defined by the Industry Classification Benchmark(ICB). Within the industry category for Financials, there exist the following sectors: Banks, Nonlife Insurance, Life Insurance, Real Estate Investment & Services, Real Estate Investment Trusts, Financial Services, Equity Investment Instruments, and Non-equity Investment Instruments.",Emerging Markets Equities,EG Shares
EFO,ProShares Ultra MSCI EAFE,MSCI EAFE Index (200%),"The index measures the performance of equity markets in European, Australasian, and Far Eastern markets.",Leveraged Equities,ProShares
EFU,ProShares UltraShort MSCI EAFE,MSCI EAFE Index (-200%),"ProShares UltraShort MSCI EAFE seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of the MSCI EAFE Index.",Leveraged Equities,ProShares
EFV,iShares MSCI Value Index Fund,MSCI EAFE Value Index,"The index measures the performance of stocks in European, Australasian, and Far Eastern markets that represent value characteristics.",Foreign Large Cap Equities,iShares
EFZ,ProShares Short MSCI EAFE,MSCI EAFE Index (-100%),"Short MSCI EAFE ProShares seeks daily investment results, before fees and expenses, that correspond to the inverse (opposite) of the daily performance of the MSCI EAFE Index.",Inverse Equities,ProShares
EGPT,Egypt Index ETF,Market Vectors Egypt Index,The Index provides exposure to publicly traded companies that are domiciled and primarily listed on an exchange in Egypt or that generate at least 50% of their revenues in Egypt.,Emerging Markets Equities,Van Eck
EIDO,MSCI Indonesia Investable Market Index Fund,MSCI Indonesia Investable Market Index,The index is a free-float adjusted market capitalization weighted index designed to measure the performance of equity securities in the top 99% by market capitalization of equity securities listed on stock exchanges in Indonesia.,Emerging Markets Equities,iShares
EIRL,MSCI Ireland Capped Investable Market Index Fund,MSCI Ireland Investable Market 25/50 Index,The index is a free-float adjusted market capitalization weighted index designed to measure the performance of equity securities in the top 99% by market capitalization of the equity securities listed on stock exchanges in Ireland.,Europe Equities,iShares
EIS,iShares MSCI Israel Capped Investable Market Index Fund,MSCI Israel Capped Investable Market Index,The index measures the performance of the Israeli equity market.,Foreign Large Cap Equities,iShares
EKH,HOLDRS Europe 2001,n/a,This ETF is not linked to a specific benchmark.,Europe Equities,Merrill Lynch HOLDRs
ELG,SPDR DJ Wilshire Lg Cap Growth,Dow Jones U.S. Large-Cap Growth Total Stock Market Index,"The Dow Jones U.S. Large-Cap Growth Total Stock Market Index is a subset of the Dow Jones U.S. Total Stock Market Index, which measures all U.S. equity securities with readily available prices. It includes stocks among the largest 750 that demonstrate growth style characteristics.",Large Cap Growth Equities,State Street
ELR,SPDR DJ Wilshire Large Cap ETF,Dow Jones U.S. Large-Cap Total Stock Market Index,"The Dow Jones U.S. Large-Cap Total Stock Market Index is a subset of the Dow Jones U.S. Total Stock Market Index, which measures all U.S. equity securities with readily available prices. The index represents the largest 750 stocks and is float-adjusted market cap weighted.",Large Cap Blend Equities,State Street
ELV,SPDR DJ Wilshire Large Cap Value ET,Dow Jones U.S. Large-Cap Value Total Stock Market Index,"The Dow Jones U.S. Large-Cap Value Total Stock Market Index is a subset of the Dow Jones U.S. Total Stock Market index, which measures all U.S. equity securities with readily available prices. It includes stocks among the largest 750 that demonstrate value style characteristics. The index is float-adjusted market-cap weighted.",Large Cap Value Equities,State Street
EMB,iShares JP Morgan Em Bond Fd,JPMorgan EMBI Global Core Index,"The index is a broad, diverse U.S. dollar denominated emerging markets debt benchmark that tracks the total return of actively traded debt instruments in emerging market countries.",Emerging Markets Bonds,iShares
EMFN,MSCI Emerging Markets Financials Sector Index Fund,MSCI Emerging Markets Financials Index,"The index is a free float-adjusted, market capitalization-weighted index designed to measure the combined equity market performance of the financials sector of emerging markets countries. Component securities include those of banks, diversified financial companies, insurance companies, and real estate companies.",Emerging Markets Equities,iShares
EMG,SPDR DJ Wilshire Mid Cap Growth ETF,Dow Jones U.S. Mid-Cap Growth Total Stock Market Index,The Dow Jones U.S. Mid-Cap Growth Total Stock Market index is a float-adjusted market capitalization weighted index that reflects the shares of securities of the mid cap portion of the Dow Jones U.S. Total Stock Market index actually available to investors in the marketplace.,Mid Cap Growth Equities,State Street
EMIF,S&P Emerging Markets Infrastructure Index Fund,S&P Emerging Markets Infrastructure Index,The Index is designed to measure the performance of the infrastructure sector of emerging equity markets.,Emerging Markets Equities,iShares
EMM,SPDR DJ Wilshire Mid Cap ETF,Dow Jones U.S. Mid-Cap Total Stock Market Index,The Dow Jones U.S. Mid-Cap Total Stock Market index is a float-adjusted market capitalization weighted index that reflects the shares of securities of the mid cap portion of the Dow Jones U.S. Total Stock Market index actually available to investors in the marketplace. The Mid-Cap Index includes the components ranked 501-1000 by full market capitalization.,Mid Cap Blend Equities,State Street
EMMT,MSCI Emerging Markets Materials Sector Index Fund,MSCI Emerging Markets Materials Index,"The index is a free float-adjusted, market capitalization-weighted index designed to measure the combined equity market performance of the materials sector of emerging markets countries. Component securities include those of chemical companies, construction materials companies, containers and packaging companies, metals and mining companies, and paper and forest products companies.",Emerging Markets Equities,iShares
EMT,EG Shares Dow Jones Emerging Markets Metals & Mining Titans Index Fund,Dow Jones Emerging Markets Metals & Mining Titans Index,"The Dow Jones Emerging Markets Metals & Mining Titans Index focuses on the largest publicly-traded mining companies involved in industrial and precious metals exploration, extraction and production within the emerging world.",Emerging Markets Equities,EG Shares
EMV,SPDR DJ Wilshire Mid Cap Value ETF,Dow Jones U.S. Mid-Cap Value Total Stock Market Index,The Dow Jones U.S. Mid-Cap Value Total Stock Market index is a float-adjusted market capitalization weighted index that reflects the shares of securities of the mid cap portion of the Dow Jones U.S. Total Stock Market index actually available to investors in the marketplace.,Mid Cap Value Equities,State Street
ENY,Claymore/SWM Canadian Energy Income Index ETF,Sustainable Canadian Energy Income Index,"The Index is comprised of approximately 30 stocks selected, based on investment and other criteria, from a universe of companies listed on the Toronto Stock Exchange, NYSE AMEX, NASDAQ or NYSE. Stocks are selected using criteria as identified by Sustainable Wealth Management, Ltd, the Fund's index provider, from a universe of companies including over 25 TSX listed Canadian royalty trusts and 20 oil sands resource producers that are classified as oil and gas producers. The Index is designed to combine the most profitable and liquid Canadian royalty trusts with the most highly focused and fastest growing oil sands producers using a tactical asset allocation model based on the trend in crude oil prices.",Energy Equities,Claymore
EPI,WisdomTree India Earnings Fund,WisdomTree India Earnings Index,The WisdomTree India Earnings Index is a fundamentally weighted index that measures the performance of companies incorporated and traded in India that are profitable and that are eligible to be purchased by foreign investors as of the index measurement date.,Emerging Markets Equities,Wisdom Tree
EPP,iShares MSCI Pacific Ex-Japan Index Fund,MSCI Pacific ex-Japan Index,"The index measures the performance of the Australian, Hong Kong, New Zealand, and Singapore equity markets.",Asia Pacific Equities,iShares
EPS,WisdomTree Earnings 500 Fund,WisdomTree Earnings 500 Index,The WisdomTree Earnings 500 Index is a fundamentally weighted index that measures the performance of earnings-generating companies within the large-capitalization segment of the U.S. Stock Market. Companies in the index are incorporated and listed in the U.S and have generated positive cumulative earnings over their most recent four fiscal quarters prior to the index measurement date. The index is comprised of the 500 largest companies ranked by market capitalization in the WisdomTree Earnings Index.,Large Cap Value Equities,Wisdom Tree
EPU,iShares MSCI All Peru Capped Index Fund,MSCI All Peru Capped Index,The index measures the performance of the Peruvian equity market.,Latin America Equities,iShares
EPV,ProShares UltraShort MSCI Europe ETF,MSCI Europe Index (-200%),"ProShares UltraShort MSCI Europe seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of the MSCI Europe Index.",Leveraged Equities,ProShares
EQL,ALPS Equal Sector Weight ETF,Bank of America Securities - Merrill Lynch Equal Sector Weight Index,The index is comprised in equal proportions of the nine Select Sector SPDR Indexes.,Large Cap Blend Equities,ALPS
ERO,iPath EUR/USD Exchange Rate ETN,Euro,"The EUR/USD exchange rate is a foreign exchange spot rate that measures the relative values of two currencies, the euro and the U.S. dollar.",Currency,Barclays iPath
ERX,Direxion Energy Bull 3X Shares,Russell 1000 Energy Index (300%),"The Russell Energy Sector consists of energy-related businesses, such as oil companies involved in the exploration, production, servicing, drilling and refining processes, and companies primarily involved in the production and mining of coal and other fuels used in the generation of consumable energy. Also included are gas distribution, gas pipeline and other such companies.",Leveraged Equities,Direxion
ERY,Direxion Energy Bear 3X Shares,Russell 1000 Energy Index (-300%),"The Russell Energy index consists of energy-related businesses, such as oil companies involved in the exploration, production, servicing, drilling and refining processes, and companies primarily involved in the production and mining of coal and other fuels used in the generation of consumable energy. Also included are gas distribution, gas pipeline and other such companies.",Leveraged Equities,Direxion
ESR,MSCI Emerging Markets Eastern Europe Index Fund,MSCI Emerging Markets Eastern Europe Index,The index measures the performance of equity markets in emerging European countries.,Emerging Markets Equities,iShares
EU,WisdomTree Dreyfus Euro Fund,Euro,"The EUR/USD exchange rate is a foreign exchange spot rate that measures the relative values of two currencies, the euro and the U.S. dollar.",Currency,Wisdom Tree
EUFN,MSCI Europe Financials Sector Index Fund,MSCI Europe Financials Index,"The index is a free float-adjusted, market capitalization-weighted index designed to measure the combined equity market performance of the financials sector of developed and market countries in Europe. Component securities include those of banks, diversified financial companies, insurance companies, and real estate companies.",Europe Equities,iShares
EUM,ProShares Short MSCI Emerging Markets,MSCI Emerging Markets Index (-100%),"ProShares Short MSCI Emerging Markets seeks daily investment results, before fees and expenses, that correspond to the inverse (opposite) of the daily performance of the MSCI Emerging Markets Index",Inverse Equities,ProShares
EUO,ProShares UltraShort Euro,Euro (-200%),"ProShares UltraShort Euro seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of the U.S. Dollar price of the Euro.",Leveraged Currency,ProShares
EUSA,MSCI USA Index Fund,MSCI USA Index,The index is a market capitalization weighted index designed to measure the performance of equity securities in the top 85% by market capitalization of equity securities listed on stock exchanges in the United States.,All Cap Equities,iShares
EVX,Market Vectors Environment Index ETF Fund,NYSE Arca Environmental Services Index,"The Index provides exposure to publicly traded companies that engage in business activities that may benefit from the global increase in demand for consumer waste disposal, removal and storage of industrial by-products, and the management of associated resources.",Miscellaneous Sector Equities,Van Eck
EWA,iShares MSCI Australia Index Fund,MSCI Australia Index,The index measures the performance of the Australian equity market.,Asia Pacific Equities,iShares
EWC,iShares MSCI Canada Index Fund,MSCI Canada Index,The index measures the performance of the Canadian equity market.,Foreign Large Cap Equities,iShares
EWD,iShares MSCI Sweden Index Fund,MSCI Sweden Index,The index measures the performance of the Swedish equity market.,Europe Equities,iShares
EWG,iShares MSCI Germany Index Fund,MSCI Germany Index,The index measures the performance of the German equity market.,Europe Equities,iShares
EWH,iShares MSCI Hong Kong Index Fund,MSCI Hong Kong Index,The index measures the performance of the Hong Kong equity market.,China Equities,iShares
EWI,iShares MSCI Italy Index Fund,MSCI Italy Index,The index measures the performance of the Italian equity market.,Europe Equities,iShares
EWJ,iShares MSCI Japan Index Fund,MSCI Japan Index,The index measures the performance of the Japanese equity market.,Japan Equities,iShares
EWK,iShares MSCI Belgium Index Fund,MSCI Belgium Investable Market Index,The index measures the performance of the Belgian equity market.,Europe Equities,iShares
EWL,iShares MSCI Switzerland Index Fund,MSCI Switzerland Index,The index measures the performance of the Swiss equity market.,Europe Equities,iShares
EWM,iShares MSCI Malaysia Index Fund,MSCI Malaysia Index,The index measures the performance of the Malaysian equity market.,Asia Pacific Equities,iShares
EWN,iShares MSCI Netherlands Index Fund,MSCI Netherlands Investable Market Index,The index measures the performance of the Dutch equity market.,Europe Equities,iShares
EWO,iShares MSCI Austria Index Fund,MSCI Austria Investable Market Index,The index measures the performance of the Austrian equity market.,Europe Equities,iShares
EWP,iShares MSCI Spain Index Fund,MSCI Spain Index,The index measures the performance of the Spanish equity market.,Europe Equities,iShares
EWQ,iShares MSCI France Index Fund,MSCI France Index,The index measures the performance of the French equity market.,Europe Equities,iShares
EWS,iShares MSCI Singapore Index Fund,MSCI Singapore Index,The index measures the performance of the Singaporean equity market.,Asia Pacific Equities,iShares
EWT,iShares MSCI Taiwan Index Fund,MSCI Taiwan Index,The index measures the performance of the Taiwanese equity market.,Asia Pacific Equities,iShares
EWU,iShares MSCI United Kingdom Index Fund,MSCI United Kingdom Index,The index measures the performance of the British equity market.,Europe Equities,iShares
EWV,ProShares UltraShort MSCI Japan,MSCI Japan Index (-200%),"ProShares UltraShort MSCI Japan seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of the MSCI Japan Index.",Leveraged Equities,ProShares
EWW,iShares MSCI Mexico Index Fund,MSCI Mexico Investable Market Index,The index measures the performance of the Mexican equity market.,Latin America Equities,iShares
EWX,SPDR S&P Emerging Markets Small Cap ETF,S&P Emerging Markets Under USD2 Billion Index,The S&P  Emerging Markets Under USD2 Billion Index is a float adjusted market cap weighted index that represents the small capitalization segment of emerging countries included in the S&P Global BMI Index. The Global BMI Index captures the full universe of institutionally investable stocks in developed and emerging markets with float-adjusted market capitalizations of at least $100 million.,Emerging Markets Equities,State Street
EWY,iShares MSCI South Korea Index Fund,MSCI Korea Index,The index measures the performance of the South Korean equity market.,Asia Pacific Equities,iShares
EWZ,iShares MSCI Brazil Index Fund,MSCI Brazil Index,The index measures the performance of the Brazilian equity market.,Latin America Equities,iShares
EXB,Claymore/Clear Global Exchanges Brokers and Asset,"Beacon Global Exchanges, Brokers & Asset Managers Index","The Index is comprised of approximately 100 equity securities traded on global exchanges, including master limited partnerships, as well as American depositary receipts and global depositary receipts of companies that operate a security exchange or brokerage/asset management firm as a primary business. The companies in the Index are intended to be representative of the highest ranking stocks in the global universe of companies engaged in these businesses as determined through independent research provided by the index provider.",Financials Equities,Claymore
EXI,iShares S&P Global Industrials Sector Index Fund,S&P Global Industrials Index,The index measures the performance of the industrials sector of global equity markets.,Industrials Equities,iShares
EXT,WisdomTree Total Earnings Fund,WisdomTree Earnings Index,The WisdomTree Earnings Index is a fundamentally weighted index that measures the performance of earnings-generating companies within the broad U.S. Stock Market. Companies in the index are incorporated and listed in the U.S and have generated positive cumulative earnings over their most recent four fiscal quarters prior to the index measurement date. The index is earnings-weighted in December to reflect the proportionate share of the aggregate earnings each component company has generated. Companies with greater earnings generally have larger weights in the index.,Large Cap Value Equities,Wisdom Tree
EZA,iShares MSCI South Africa Index Fund,MSCI South Africa Index,The index measures the performance of the South African equity market.,Emerging Markets Equities,iShares
EZJ,ProShares Ultra MSCI Japan,MSCI Japan Index (200%),"ProShares Ultra MSCI Japan seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the MSCI Japan Index.",Leveraged Equities,ProShares
EZM,WisdomTree MidCap Earnings Fund,WisdomTree MidCap Earnings Index,The WisdomTree MidCap Earnings Index is a fundamentally weighted index that measures the performance of earnings-generating companies within the mid-capitalization segment of the U.S. Stock Market. The index is comprised of the companies in the top 75% of the market capitalization of the WisdomTree Earnings Index after the 500 largest companies have been removed.,Mid Cap Value Equities,Wisdom Tree
EZU,iShares MSCI EMU Index Fund,MSCI EMU Index,The index measures the performance of equity markets of the EMU member countries: those members of the European Union who have adopted the Euro as its currency.,Europe Equities,iShares
EZY,WisdomTree Low P/E Fund,WisdomTree LargeCap Value Index,"The WisdomTree LargeCap Value Index is a fundamentally weighted index that measures the performance of large-cap value companies. The Index consists of U.S. companies that have positive cumulative earnings over the past four fiscal quarters and that meet WisdomTree's market capitalization, liquidity, and other requirements as of the Index measurement date. For these purposes, ""earnings"" are determined using a company's reported net income, excluding special items, applicable to common shareholders.",Large Cap Value Equities,Wisdom Tree
FAA,Claymore/NYSE Arca Airline ETF,NYSE Arca Global Airline Index,The Index is a modified equal-dollar weighted Index designed to measure the performance of highly capitalized and liquid U.S. and international passenger airline companies identified as being in the airline industry and listed on developed and emerging global market exchanges.,Transportation Equities,Claymore
FAB,First Trust Multi Cap Value AlphaDEX Fund,Defined Multi Cap Value Index,"The Defined Multi Cap Value Index is an ""enhanced"" index created and administered by Standard & Poor's which selects stocks from the S&P Composite 1500/Citigroup Value Index.",All Cap Equities,First Trust
FAD,First Trust Multi CG AlphaDEX,Defined Multi Cap Growth Index,"The Defined Multi Cap Growth Index is an ""enhanced"" index created and administered by Standard & Poor's which selects stocks from the S&P Composite 1500/Citigroup Growth Index.",All Cap Equities,First Trust
